sbu name, number of mofs built from it
auxiliary_289, 1
auxiliary_290, 1
auxiliary_291, 1
auxiliary_292, 2
auxiliary_293, 1
auxiliary_294, 1
auxiliary_295, 1
auxiliary_296, 1
auxiliary_297, 1
auxiliary_298, 1
auxiliary_299, 1
auxiliary_300, 1
auxiliary_301, 1
auxiliary_302, 1
auxiliary_303, 1
auxiliary_304, 1
auxiliary_305, 1
auxiliary_306, 1
auxiliary_307, 1
auxiliary_308, 1
auxiliary_309, 1
auxiliary_310, 4
auxiliary_311, 3
auxiliary_312, 1
auxiliary_313, 1
auxiliary_314, 1
auxiliary_315, 1
auxiliary_316, 1
auxiliary_317, 1
auxiliary_318, 1
auxiliary_319, 1
auxiliary_320, 1
auxiliary_321, 1
auxiliary_322, 1
auxiliary_323, 1
auxiliary_324, 1
auxiliary_325, 1
auxiliary_326, 1
auxiliary_327, 1
auxiliary_328, 1
auxiliary_329, 1
auxiliary_330, 1
auxiliary_331, 1
auxiliary_332, 1
auxiliary_333, 1
auxiliary_334, 2
auxiliary_335, 1
auxiliary_336, 1
auxiliary_337, 1
auxiliary_338, 1
auxiliary_339, 1
auxiliary_340, 1
auxiliary_341, 1
auxiliary_342, 1
auxiliary_343, 1
auxiliary_344, 2
auxiliary_345, 2
auxiliary_346, 1
auxiliary_347, 1
auxiliary_348, 1
auxiliary_349, 1
auxiliary_350, 1
auxiliary_351, 1
auxiliary_352, 1
