sbu name, number of mofs built from it
connector_398, 1
connector_399, 1
connector_400, 1
connector_401, 1
connector_402, 30
connector_403, 4
connector_404, 1
connector_405, 3
connector_406, 55
connector_407, 12
connector_408, 2
connector_409, 1
connector_410, 1
connector_411, 1
connector_412, 1
connector_413, 1
connector_414, 1
connector_415, 5
connector_416, 5
connector_417, 1
connector_418, 1
connector_419, 1
connector_420, 2
connector_421, 1
connector_422, 1
connector_423, 6
connector_424, 5
connector_425, 4
connector_426, 1
connector_427, 1
connector_428, 1
connector_429, 9
connector_430, 1
connector_431, 1
connector_432, 1
connector_433, 4
connector_434, 1
connector_435, 3
connector_436, 5
connector_437, 8
connector_438, 28
connector_439, 2
connector_440, 60
connector_441, 15
connector_442, 1
connector_443, 2
connector_444, 1
connector_445, 4
connector_446, 1
connector_447, 1
connector_448, 13
connector_449, 1
connector_450, 2
connector_451, 1
connector_452, 30
connector_453, 17
connector_454, 2
connector_455, 2
connector_456, 29
connector_457, 6
connector_458, 12
connector_459, 1
connector_460, 1
connector_461, 1
connector_462, 5
connector_463, 1
connector_464, 2
connector_465, 5
connector_466, 3
connector_467, 3
connector_468, 13
connector_469, 2
connector_470, 52
connector_471, 7
connector_472, 1
connector_473, 10
connector_474, 2
connector_475, 6
connector_476, 10
connector_477, 89
connector_478, 1
connector_479, 11
connector_480, 1
connector_481, 1
connector_482, 1
connector_483, 2
connector_484, 2
connector_485, 18
connector_486, 5
connector_487, 1
connector_488, 1
connector_489, 2
connector_490, 2
connector_491, 4
connector_492, 8
connector_493, 1
connector_494, 4
connector_495, 6
connector_496, 1
connector_497, 9
connector_498, 4
connector_499, 2
connector_500, 2
connector_501, 1
connector_502, 1
connector_503, 1
connector_504, 1
connector_505, 1
connector_506, 12
connector_507, 1
connector_508, 2
connector_509, 1
connector_510, 2
connector_511, 1
connector_512, 1
connector_513, 2
connector_514, 1
connector_515, 1
connector_516, 50
connector_517, 1
connector_518, 1
connector_519, 1
connector_520, 2
connector_521, 2
connector_522, 1
connector_523, 1
connector_524, 1
connector_525, 4
connector_526, 3
connector_527, 1
connector_528, 1
connector_529, 2
connector_530, 5
connector_531, 4
connector_532, 19
connector_533, 7
connector_534, 30
connector_535, 2
connector_536, 4
connector_537, 3
connector_538, 1
connector_539, 1
connector_540, 12
connector_541, 12
connector_542, 1
connector_543, 1
connector_544, 1
connector_545, 1
connector_546, 14
connector_547, 6
connector_548, 24
connector_549, 1
connector_550, 10
connector_551, 4
connector_552, 2
connector_553, 5
connector_554, 1
connector_555, 4
connector_556, 1
connector_557, 40
connector_558, 22
connector_559, 3
connector_560, 1
connector_561, 1
connector_562, 2
connector_563, 1
connector_564, 14
connector_565, 1
connector_566, 1
connector_567, 6
connector_568, 43
connector_569, 3
connector_570, 1
connector_571, 4
connector_572, 33
connector_573, 1
connector_574, 2
connector_575, 2
connector_576, 5
connector_577, 1
connector_578, 1
connector_579, 4
connector_580, 3
connector_581, 1
connector_582, 2
connector_583, 3
connector_584, 1
connector_585, 18
connector_586, 5
connector_587, 1
connector_588, 1
connector_589, 4
connector_590, 21
connector_591, 2
connector_592, 2
connector_593, 13
connector_594, 6
connector_595, 1
connector_596, 2
connector_597, 1
connector_598, 15
connector_599, 29
connector_600, 4
connector_601, 4
connector_602, 1
connector_603, 1
connector_604, 4
connector_605, 1
connector_606, 3
connector_607, 1
connector_608, 13
connector_609, 16
connector_610, 1
connector_611, 1
connector_612, 1
connector_613, 1
connector_614, 43
connector_615, 1
connector_616, 11
connector_617, 2
connector_618, 1
connector_619, 2
connector_620, 1
connector_621, 5
connector_622, 1
connector_623, 8
connector_624, 12
connector_625, 2
connector_626, 1
connector_627, 1
connector_628, 3
connector_629, 4
connector_630, 3
connector_631, 1
connector_632, 5
connector_633, 2
connector_634, 9
connector_635, 1
connector_636, 1
connector_637, 18
connector_638, 54
