mof label, metal(s)
ESUVOF_clean, Co-O(H)-Co
ETEMIB_clean, Co-O(H)-Co
EXEQAA_clean, Sc-O(H)-Sc
EXEQII_SL, Sc-O(H)-Sc
EXIBUI_clean, Ba-O(H)-Ba
FAFDEX_clean, K-O(H)-Mn
FAFQEJ01_clean, Er-O(H)-Er
FAGREM_clean, Zn-O(H)-Zn
FAHQIR_clean, Co-O(H)-Co
FAPXEC_clean, V-O(H)-V
FAQLUH_clean, V-O(H)-V
FEQSIF_clean, Co-O(H)-Co
FEWQIJ_manual, Dy-O(H)-Dy
FIHLOZ_clean, Co-O(H)-Co
FIJCUX01_clean, Zn-O(H)-Zn
FIJGEK_clean, Al-O(H)-Al
FIMXUW_clean, La-O(H)-La
FIRZOX_clean, Ce-O(H)-Ce
FODZUU_clean, Al-O(H)-Al
FOGFAK_clean, Zn-O(H)-Zn
FOHSAW01_clean, Sr-O(H)-Sr
FOJKIA_clean, Mg-O(H)-Mg
FONPUV_clean, Zn-O(H)-Zn
FOQPAE_clean, Cu-O(H)-Cu
FOXNIQ_clean, Gd-O(H)-Gd
FUJKUS_clean, Co-O(H)-Co
FULQUZ_clean, La-O(H)-La
FUMHOL_clean, Sm-O(H)-Cs
FURSES_clean, Cu-O(H)-Cu
FUSGOR_clean, Co-O(H)-Co
FUWYAY_clean, Mn-O(H)-Mn
FUXXIH_clean, Ni-O(H)-Ni
GADRAH_clean, Co-O(H)-Co, Na-O(H)-Na
GALCAZ_clean, Zn-O(H)-Zn
GAXWEJ_clean, Ba-O(H)-Zn
GAYTEH_ion_b, Cu-O(H)-Cu
GECRAI_charged, V-O(H)-V
GEDDAW_clean, Co-O(H)-Co
GEDDEA_clean, Ni-O(H)-Ni
GEHSAN_clean, Ca-O(H)-Ca
GEKVEZ_clean, Yb-O(H)-Cs
GETXAG01_clean, Co-O(H)-Co
GIKMOD_clean, Cu-O(H)-Cu
GIRYEN_clean, Zn-O(H)-Zn
GIRYIR_clean, Zn-O(H)-Zn
GIRYOX_clean, Zn-O(H)-Zn
GIRYUD_clean, Zn-O(H)-Zn
GIRZAK_clean, Zn-O(H)-Zn
GIZVER_clean, Co-O(H)-Co
GOGSIF_clean, Co-O(H)-Co
GOKBUE_clean, Cu-O(H)-Cu
GOMPOO_clean, Al-O(H)-Al
GURTIX_charged, In-O(H)-In
GUSNEN01_SL, Cr-O(H)-Cr
GUSNEN_SL, Cr-O(H)-Cr
GUXQAR_clean, V-O(H)-V
HAFVUH_SL, Mg-O(H)-Mg
HAJYEZ_clean, Ni-O(H)-Ni
HALVAU_clean, Ni-O(H)-Ni
HAPGIR_clean, Mn-O(H)-Mn
HAWREE_clean, Mn-O(H)-Mn
HAZNED_clean, Cd-O(H)-Cd
HAZNIH_clean, Cd-O(H)-Cd
