Ag-O-Ag, 3
Ag-O-Cr, 3
Ag-O-Cs, 2
Ag-O-K, 1
Ag-O-W, 2
Al-O-Al, 88
Ba-O-Ba, 62
Ba-O-Cd, 4
Ba-O-Co, 3
Ba-O-Cr, 1
Ba-O-Cu, 1
Ba-O-Fe, 1
Ba-O-Li, 1
Ba-O-Mo, 1
Ba-O-U, 3
Ba-O-V, 4
Ba-O-Zn, 2
Be-O-Na, 1
Bi-O-Bi, 2
Bi-O-K, 2
Ca-O-Ca, 70
Ca-O-Cd, 5
Ca-O-K, 2
Ca-O-Ni, 1
Ca-O-Zn, 1
Cd-O-Cd, 125
Cd-O-Co, 1
Cd-O-Cu, 1
Cd-O-Eu, 1
Cd-O-K, 5
Cd-O-La, 1
Cd-O-Mo, 2
Cd-O-Na, 4
Cd-O-Pr, 1
Cd-O-Zn, 1
Ce-O-Ce, 73
Ce-O-K, 3
Ce-O-Mo, 1
Ce-O-Na, 1
Ce-O-Ni, 1
Ce-O-U, 1
Ce-O-W, 5
Ce-O-Zr, 1
Co-O-Co, 361
Co-O-Cr, 1
Co-O-Ga, 1
Co-O-K, 4
Co-O-Mo, 6
Co-O-Na, 8
Co-O-Ni, 1
Co-O-W, 5
Co-O-Zn, 1
Cr-O-Ag, 2
Cr-O-Co, 2
Cr-O-Cr, 38
Cr-O-Ni, 1
Cs-O-Cd, 2
Cs-O-Cs, 5
Cs-O-Fe, 1
Cs-O-In, 1
Cs-O-K, 1
Cs-O-Mn, 1
Cs-O-Mo, 1
Cs-O-U, 2
Cs-O-W, 1
Cu-O-Ba, 3
Cu-O-Ca, 4
Cu-O-Cd, 1
Cu-O-Cu, 196
Cu-O-K, 2
Cu-O-Li, 1
Cu-O-Mn, 1
Cu-O-Mo, 6
Cu-O-Na, 7
Cu-O-W, 6
Dy-O-Cs, 1
Dy-O-Dy, 59
Dy-O-Fe, 1
Dy-O-K, 1
Dy-O-W, 1
Er-O-Er, 32
Er-O-Fe, 1
Eu-O-Co, 1
Eu-O-Cs, 1
Eu-O-Eu, 148
Eu-O-Fe, 1
Eu-O-K, 2
Eu-O-Mo, 1
Eu-O-Na, 2
Eu-O-Sr, 1
Eu-O-Tb, 4
Eu-O-W, 1
Eu-O-Zn, 1
Fe-O-Al, 1
Fe-O-Ba, 1
Fe-O-Co, 3
Fe-O-Fe, 149
Fe-O-K, 1
Fe-O-Mn, 1
Fe-O-Na, 3
Fe-O-W, 1
Ga-O-Cs, 1
Ga-O-Ga, 36
Ga-O-Mn, 1
Ga-O-Rb, 1
Gd-O-Co, 3
Gd-O-Cu, 1
Gd-O-Fe, 1
Gd-O-Gd, 85
Gd-O-K, 1
Gd-O-Na, 2
Gd-O-Ni, 1
Hf-O-Hf, 10
Ho-O-Ho, 24
In-O-Co, 1
In-O-In, 66
In-O-K, 1
In-O-Li, 1
In-O-Nd, 1
In-O-Pr, 1
In-O-Sm, 1
K-O-Ca, 1
K-O-Cd, 2
K-O-Co, 5
K-O-Cr, 1
K-O-Cu, 1
K-O-Dy, 1
K-O-Eu, 1
K-O-Fe, 2
K-O-Gd, 1
K-O-Ho, 1
K-O-In, 1
K-O-K, 43
K-O-Lu, 1
K-O-Mn, 1
K-O-Mo, 1
K-O-Pr, 1
K-O-Rb, 1
K-O-Sm, 2
K-O-U, 4
K-O-W, 3
K-O-Y, 2
K-O-Zn, 3
K-O-Zr, 3
La-O-Cu, 4
La-O-K, 3
La-O-La, 101
La-O-Mo, 3
La-O-Na, 1
La-O-Ni, 2
La-O-Tb, 1
La-O-W, 1
Li-O-Ba, 1
Li-O-Cd, 2
Li-O-In, 1
Li-O-Li, 37
Li-O-Sr, 1
Li-O-Y, 1
Li-O-Zn, 2
Lu-O-Lu, 1
Mg-O-In, 1
Mg-O-Mg, 101
Mg-O-Na, 1
Mg-O-Ni, 1
Mn-O-Cd, 1
Mn-O-Co, 1
Mn-O-In, 1
Mn-O-K, 2
Mn-O-Mn, 208
Mn-O-Mo, 1
Mn-O-Na, 3
Mn-O-V, 3
Mn-O-W, 1
Mo-O-Al, 1
Mo-O-Ca, 1
Mo-O-Cd, 4
Mo-O-Co, 9
Mo-O-Cu, 2
Mo-O-Fe, 1
Mo-O-Mn, 10
Mo-O-Mo, 79
Mo-O-Na, 7
Mo-O-Ni, 3
Mo-O-Rb, 1
Mo-O-Rh, 1
Mo-O-V, 1
Mo-O-Zn, 9
Na-O-Bi, 1
Na-O-Cd, 4
Na-O-Ce, 1
Na-O-Co, 7
Na-O-Cs, 1
Na-O-Cu, 2
Na-O-Dy, 2
Na-O-Fe, 1
Na-O-Ho, 1
Na-O-K, 1
Na-O-La, 2
Na-O-Mn, 4
Na-O-Mo, 3
Na-O-Na, 63
Na-O-Ni, 2
Na-O-Sm, 1
Na-O-U, 2
Na-O-W, 5
Na-O-Zn, 4
Nb-O-Ni, 4
Nd-O-Cd, 1
Nd-O-Cu, 1
Nd-O-Nd, 113
Nd-O-U, 1
Nd-O-W, 2
Nd-O-Yb, 1
Ni-O-Mo, 5
Ni-O-Na, 1
Ni-O-Ni, 110
Ni-O-V, 2
Ni-O-W, 5
Np-O-Cs, 2
Np-O-Np, 7
Pb-O-Na, 1
Pr-O-K, 2
Pr-O-Na, 2
Pr-O-Ni, 1
Pr-O-Pr, 65
Pr-O-W, 2
Pr-O-Zn, 1
Rb-O-Ga, 2
Rb-O-Mo, 1
Rb-O-Rb, 4
Rb-O-Y, 1
Ru-O-K, 3
Ru-O-Ru, 1
Ru-O-W, 1
Sc-O-Sc, 8
Sm-O-Cs, 1
Sm-O-Cu, 1
Sm-O-Fe, 1
Sm-O-K, 1
Sm-O-Sm, 54
Sm-O-W, 2
Sn-O-Sn, 2
Sr-O-Ca, 1
Sr-O-Cd, 1
Sr-O-Co, 1
Sr-O-Cu, 1
Sr-O-Gd, 1
Sr-O-Ni, 1
Sr-O-Sr, 46
Tb-O-Co, 1
Tb-O-Cs, 1
Tb-O-Cu, 1
